iter	Passed	Remaining
0	2	252
1	4	203
2	5	179
3	6	155
4	7	148
5	8	138
6	10	137
7	11	131
8	12	124
9	13	120
10	14	116
11	14	109
12	15	104
13	16	102
14	17	98
15	18	94
16	18	92
17	19	89
18	20	86
19	21	85
20	21	82
21	22	80
22	23	79
23	24	76
24	24	74
25	25	73
26	26	71
27	27	70
28	28	68
29	28	67
30	29	66
31	30	64
32	31	63
33	32	62
34	32	60
35	33	59
36	34	58
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	47
47	43	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	46	39
54	47	38
55	48	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	83	2
97	84	1
98	86	0
99	87	0
