iter	Passed	Remaining
0	155	155171
1	156	78283
2	158	52642
3	160	39919
4	161	32209
5	163	27009
6	163	23247
7	166	20603
8	168	18538
9	170	16887
10	173	15585
11	175	14449
12	178	13522
13	180	12726
14	183	12024
15	185	11400
16	187	10843
17	189	10344
18	191	9886
19	193	9468
20	195	9099
21	196	8743
22	198	8428
23	199	8129
24	201	7855
25	202	7597
26	204	7366
27	205	7149
28	207	6944
29	208	6755
30	210	6578
31	211	6404
32	213	6247
33	214	6090
34	215	5945
35	216	5808
36	218	5674
37	219	5558
38	220	5438
39	221	5322
40	222	5206
41	223	5097
42	224	4991
43	225	4891
44	225	4794
45	226	4701
46	227	4610
47	228	4523
48	228	4440
49	229	4359
50	230	4280
51	230	4204
52	231	4132
53	232	4064
54	232	4000
55	233	3936
56	234	3877
57	235	3819
58	236	3765
59	236	3706
60	237	3650
61	237	3599
62	238	3547
63	239	3498
64	239	3450
65	240	3403
66	241	3359
67	241	3315
68	242	3271
69	243	3230
70	243	3189
71	244	3149
72	245	3112
73	245	3074
74	246	3036
75	246	3001
76	247	2966
77	248	2932
78	248	2900
79	249	2870
80	250	2839
81	250	2809
82	251	2776
83	251	2747
84	252	2719
85	253	2692
86	253	2665
87	254	2639
88	255	2614
89	255	2588
90	256	2563
91	257	2538
92	257	2515
93	258	2491
94	259	2468
95	260	2448
96	260	2428
97	261	2405
98	261	2383
99	262	2363
100	263	2343
101	263	2323
102	264	2304
103	265	2285
104	265	2265
105	266	2247
106	267	2229
107	267	2211
108	268	2193
109	268	2175
110	269	2158
111	270	2141
112	270	2125
113	271	2108
114	271	2092
115	272	2077
116	273	2061
117	273	2047
118	274	2034
119	275	2019
120	275	2004
121	276	1990
122	277	1977
123	278	1964
124	278	1951
125	279	1939
126	280	1927
127	281	1914
128	281	1901
129	282	1889
130	282	1877
131	283	1864
132	284	1852
133	284	1839
134	285	1827
135	285	1815
136	286	1804
137	286	1792
138	287	1781
139	288	1770
140	288	1759
141	289	1747
142	289	1737
143	290	1728
144	291	1718
145	291	1707
146	292	1697
147	293	1688
148	293	1678
149	294	1668
150	295	1659
151	295	1650
152	296	1640
153	297	1631
154	297	1623
155	298	1615
156	299	1607
157	300	1598
158	300	1590
159	301	1582
160	301	1572
161	302	1564
162	303	1556
163	303	1548
164	304	1539
165	304	1531
166	305	1522
167	305	1514
168	306	1506
169	306	1498
170	307	1490
171	308	1482
172	308	1475
173	309	1468
174	309	1460
175	310	1452
176	310	1445
177	311	1437
178	311	1431
179	312	1424
180	313	1417
181	313	1410
182	314	1404
183	315	1397
184	315	1390
185	316	1385
186	317	1379
187	317	1373
188	318	1367
189	319	1360
190	319	1353
191	320	1347
192	320	1341
193	321	1334
194	321	1328
195	322	1322
196	323	1316
197	323	1310
198	324	1305
199	325	1300
200	325	1294
201	326	1288
202	326	1283
203	327	1277
204	328	1272
205	328	1267
206	329	1261
207	329	1256
208	330	1250
209	331	1245
210	331	1240
211	332	1235
212	333	1230
213	333	1225
214	334	1220
215	334	1215
216	335	1209
217	335	1204
218	336	1199
219	337	1194
220	337	1190
221	338	1185
222	338	1180
223	339	1176
224	340	1171
225	340	1166
226	341	1162
227	341	1157
228	342	1153
229	343	1148
230	343	1143
231	344	1139
232	344	1135
233	345	1130
234	345	1126
235	346	1121
236	346	1116
237	347	1112
238	348	1108
239	348	1103
240	349	1099
241	349	1095
242	350	1091
243	350	1087
244	351	1083
245	352	1079
246	352	1075
247	353	1071
248	354	1067
249	354	1064
250	355	1060
251	355	1056
252	356	1052
253	356	1048
254	357	1044
255	358	1040
256	358	1036
257	359	1032
258	359	1028
259	360	1024
260	360	1021
261	361	1017
262	361	1014
263	362	1010
264	362	1006
265	363	1002
266	363	999
267	364	995
268	364	991
269	365	987
270	365	984
271	366	980
272	366	976
273	367	973
274	367	970
275	368	966
276	369	963
277	369	960
278	370	957
279	370	953
280	371	950
281	371	946
282	372	943
283	373	940
284	373	937
285	374	934
286	375	931
287	375	928
288	376	925
289	376	922
290	377	919
291	377	916
292	378	913
293	378	909
294	379	906
295	379	903
296	380	900
297	380	897
298	381	894
299	381	891
300	382	888
301	383	885
302	383	882
303	384	879
304	384	877
305	385	874
306	385	871
307	386	868
308	386	865
309	387	862
310	387	859
311	388	856
312	388	853
313	389	850
314	389	847
315	390	844
316	390	842
317	391	839
318	391	836
319	392	833
320	392	830
321	393	828
322	393	825
323	394	822
324	394	819
325	395	817
326	395	814
327	396	811
328	396	809
329	397	806
330	397	804
331	398	801
332	399	799
333	399	796
334	400	794
335	400	791
336	401	789
337	401	787
338	402	784
339	402	782
340	403	779
341	404	777
342	404	775
343	405	772
344	405	770
345	406	767
346	406	765
347	407	763
348	407	760
349	408	758
350	408	755
351	409	753
352	409	750
353	410	748
354	410	746
355	411	743
356	411	741
357	412	738
358	412	736
359	413	734
360	414	732
361	414	731
362	415	729
363	415	726
364	416	724
365	416	722
366	417	719
367	417	717
368	418	715
369	418	713
370	419	710
371	419	708
372	420	706
373	420	704
374	421	702
375	421	699
376	422	697
377	422	695
378	423	693
379	423	691
380	424	689
381	424	686
382	425	684
383	425	682
384	426	680
385	426	678
386	426	676
387	427	674
388	428	672
389	429	671
390	429	669
391	430	667
392	431	665
393	431	663
394	431	661
395	432	659
396	432	657
397	433	655
398	434	653
399	434	651
400	435	649
401	435	647
402	435	645
403	436	643
404	437	642
405	437	640
406	437	638
407	438	636
408	438	634
409	439	632
410	439	630
411	440	628
412	440	626
413	441	624
414	441	622
415	442	620
416	442	619
417	443	617
418	444	615
419	444	614
420	445	612
421	446	610
422	446	609
423	447	607
424	447	605
425	448	604
426	448	602
427	449	601
428	450	599
429	451	598
430	451	596
431	452	595
432	453	593
433	453	591
434	454	589
435	454	588
436	455	586
437	455	584
438	456	583
439	457	581
440	457	580
441	458	578
442	458	576
443	459	575
444	459	573
445	460	571
446	461	570
447	461	568
448	462	567
449	462	565
450	463	563
451	463	562
452	464	560
453	464	559
454	465	557
455	465	555
456	466	554
457	467	553
458	467	551
459	468	550
460	469	548
461	469	547
462	470	546
463	471	544
464	471	542
465	472	541
466	473	539
467	473	538
468	474	537
469	474	535
470	475	534
471	475	532
472	476	530
473	476	529
474	477	527
475	477	526
476	478	524
477	478	523
478	479	521
479	479	519
480	480	518
481	480	516
482	481	515
483	481	513
484	482	512
485	482	510
486	483	509
487	483	507
488	484	506
489	484	504
490	485	503
491	485	501
492	486	500
493	486	498
494	487	497
495	487	495
496	488	494
497	489	492
498	489	491
499	490	490
500	490	488
501	491	487
502	492	486
503	492	484
504	493	483
505	493	481
506	494	480
507	494	479
508	495	477
509	495	476
510	496	474
511	496	473
512	497	471
513	497	470
514	498	469
515	498	467
516	499	466
517	499	465
518	500	463
519	500	462
520	501	460
521	501	459
522	502	458
523	502	456
524	503	455
525	503	454
526	504	452
527	505	451
528	505	450
529	506	448
530	506	447
531	507	446
532	507	444
533	508	443
534	508	442
535	509	440
536	509	439
537	510	437
538	510	436
539	510	435
540	511	433
541	511	432
542	512	431
543	513	430
544	513	428
545	513	427
546	514	426
547	514	424
548	515	423
549	515	422
550	516	420
551	516	419
552	517	418
553	517	416
554	518	415
555	518	414
556	519	413
557	520	412
558	520	410
559	521	409
560	521	408
561	522	407
562	522	405
563	523	404
564	523	403
565	524	401
566	524	400
567	525	399
568	525	398
569	526	396
570	526	395
571	527	394
572	527	393
573	528	392
574	528	390
575	529	389
576	529	388
577	530	387
578	530	385
579	531	384
580	531	383
581	532	382
582	532	380
583	533	379
584	533	378
585	534	377
586	534	376
587	535	375
588	535	373
589	536	372
590	536	371
591	537	370
592	537	369
593	538	367
594	538	366
595	539	365
596	539	364
597	540	363
598	540	361
599	540	360
600	541	359
601	542	358
602	542	357
603	543	356
604	543	354
605	544	353
606	544	352
607	545	351
608	545	350
609	545	349
610	546	347
611	546	346
612	547	345
613	547	344
614	548	343
615	549	342
616	549	341
617	550	340
618	551	339
619	551	338
620	552	336
621	552	335
622	553	334
623	553	333
624	554	332
625	554	331
626	555	330
627	555	329
628	556	327
629	556	326
630	557	325
631	557	324
632	558	323
633	558	322
634	558	321
635	559	320
636	559	319
637	560	317
638	560	316
639	561	315
640	561	314
641	562	313
642	562	312
643	563	311
644	563	310
645	564	309
646	565	308
647	565	307
648	566	306
649	566	305
650	567	304
651	567	303
652	568	302
653	569	301
654	569	299
655	570	298
656	570	297
657	571	296
658	571	295
659	572	294
660	572	293
661	573	292
662	573	291
663	574	290
664	574	289
665	575	288
666	575	287
667	575	286
668	576	285
669	576	284
670	577	283
671	577	282
672	578	281
673	579	280
674	579	279
675	580	278
676	580	277
677	581	276
678	581	275
679	582	273
680	582	272
681	583	271
682	583	270
683	584	269
684	584	268
685	585	267
686	585	266
687	586	265
688	586	264
689	587	263
690	587	262
691	588	261
692	588	260
693	589	259
694	589	258
695	590	257
696	590	256
697	591	255
698	591	254
699	591	253
700	592	252
701	592	251
702	593	250
703	593	249
704	594	248
705	595	247
706	595	246
707	596	245
708	596	244
709	597	244
710	597	243
711	598	242
712	599	241
713	599	240
714	600	239
715	600	238
716	601	237
717	601	236
718	602	235
719	602	234
720	603	233
721	603	232
722	604	231
723	604	230
724	605	229
725	605	228
726	606	227
727	606	226
728	607	225
729	607	224
730	608	223
731	608	222
732	609	221
733	609	221
734	610	220
735	611	219
736	611	218
737	612	217
738	612	216
739	613	215
740	613	214
741	614	213
742	614	212
743	615	211
744	615	210
745	616	209
746	616	208
747	617	207
748	617	206
749	618	206
750	618	205
751	619	204
752	619	203
753	619	202
754	620	201
755	620	200
756	621	199
757	621	198
758	622	197
759	622	196
760	623	195
761	624	194
762	624	194
763	625	193
764	626	192
765	626	191
766	627	190
767	627	189
768	628	188
769	628	187
770	629	186
771	629	185
772	630	185
773	630	184
774	630	183
775	631	182
776	631	181
777	632	180
778	632	179
779	633	178
780	633	177
781	634	176
782	634	175
783	635	175
784	635	174
785	636	173
786	636	172
787	637	171
788	637	170
789	638	169
790	638	168
791	638	167
792	639	166
793	640	166
794	640	165
795	641	164
796	642	163
797	643	162
798	643	161
799	644	161
800	644	160
801	645	159
802	646	158
803	646	157
804	647	156
